Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,1.58624299813302E-05,2.01332320114156E-07,-0.024572450025295,0,0,0,0.60016209200883,0.002429533114279,-5.25284926483854E-09,-1.0307989110718E-08,0.000676060412175,-4.23866154122213E-09,0.002709660814376,0,0,0,0,0,0,package://urdf6/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://urdf6/meshes/body.STL,,零件10-1,DM 6248 减速电机20250717_1.stp-2,o_body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,
leg_r1_joint,-0.003824227928159,-0.012314235522198,0.076674722813202,0,0,0,0.292899916417866,0.000252199489312,1.84502350325129E-05,3.06532558789357E-06,0.00030565326602,9.64612915614931E-06,0.000181236852257,0,0,0,0,0,0,package://urdf6/meshes/1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf6/meshes/1.STL,,零件5-3,DM 6248 减速电机20250717_1.stp-1,o_1,w_1,1,continuous,0,0,0.011999999999999,0,0,0,body,0,0,-1,,,,,,,,,,,
leg_r2_joint,0.028493216490076,0.085231438200091,0.02334424781838,0,0,0,0.118782011304387,0.000148335029285,-8.65175116738488E-06,-1.27967801985177E-05,0.000134918605784,-4.16906433393106E-05,0.000154509301437,0,0,0,0,0,0,package://urdf6/meshes/2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf6/meshes/2.STL,,零件4-2,o_2,w_2,2,continuous,-0.01368129770415,-0.043694437135536,0.080811662006124,0,0,0,1,0.29752487908452,0.954714065218347,0,,,,,,,,,,,,
leg_r3_joint,0.004408049258862,-0.000927955750799,0.010543805424705,0,0,0,0.395227613542105,0.000308890320719,-5.97376048863321E-06,-4.28271122717806E-07,0.000290511069753,-7.01321630599807E-06,0.000217174460224,0,0,0,0,0,0,package://urdf6/meshes/3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf6/meshes/3.STL,,DM 6248 减速电机20250717_1.stp-3,零件6友友-1,dm_4340__3d20240822_1(2)(1).stp-1,o_3,w_3,3,continuous,0.041206827256931,0.104588881771451,0.106228185949221,0,0,0,2,-0.072234930680261,0.022511126419206,-0.997133573788866,,,,,,,,,,
leg_r4_joint,0.015506055889014,0.041177429734198,0.034670958639919,0,0,0,0.022284133932965,1.84809601603307E-05,-7.49503824125524E-07,7.29303214418526E-07,1.42244264185631E-05,5.6744596945616E-06,8.89285098125665E-06,0,0,0,0,0,0,package://urdf6/meshes/4.STL,1,1,1,1,0,0,0,0,0,0,package://urdf6/meshes/4.STL,,零件1改-1,o_4,w_4,4,continuous,-0.002280429560332,-0.0297792321779,0.083360447505436,0,0,0,3,0.282983296167026,0.959124144572578,0.001152991051661,,,,,,,,,,,,
leg_r5_joint,-0.004855914753109,-0.011936303900407,-0.006781887062876,0,0,0,0.38824624930896,0.000237526648339,-5.31429070295641E-05,2.19325891659962E-05,0.000363875907134,1.18765086359219E-05,0.000378463701931,0,0,0,0,0,0,package://urdf6/meshes/5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf6/meshes/5.STL,,DM_4340__3D20240325_1_4.stp-2,零件8-1,dm_4340__3d20240822_1(2)(1).stp-3,o_5,w_5,5,continuous,0.018151143426285,0.025007599076044,0.111134888878763,0,1.26722046551249,0,4,0.923719785557326,0.027305645856401,-0.382094437900229,,,,,,,,,,
leg_r6_joint,0.065169110746713,0.080610227585878,-0.05450462818476,0,0,0,0.174871084341935,0.000144391761958,-1.80182197600083E-05,1.3262109156489E-05,7.06944905975503E-05,1.59148040690902E-05,0.00013640191869,0,0,0,0,0,0,package://urdf6/meshes/6.STL,1,1,1,1,0,0,0,0,0,0,package://urdf6/meshes/6.STL,,零件1-2,DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1,o_6,w_6,6,continuous,-0.055071204582608,-0.033245977283875,-0.000878918231283,1.5372364468678,-1.26722046551249,0,5,0.565655964466871,0,-0.824641334073823,,,,,,,,,,,
leg_r7_joint,0.122014637753753,-0.108460665221082,-0.05055268191271,0,0,0,0.784412251530751,0.000356845911909,5.28938521033195E-05,1.61063033449861E-05,0.00039369418632,-3.02303341596539E-06,0.000403461621026,0,0,0,0,0,0,package://urdf6/meshes/7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf6/meshes/7.STL,,自研灵巧手2-1,o_7,w_7,7,continuous,0.050695467484846,0.097560936224285,-0.067997812053332,-1.5372364468678,0,0,6,0.804819794366103,-0.559061164385712,-0.199288015375224,,,,,,,,,,,,
